x_location	radius	area	Mach	P_P0
0.127000	0.132351	0.055031	0.356157	0.916049
0.128000	0.131789	0.054564	0.359742	0.914446
0.129000	0.131233	0.054105	0.363351	0.912819
0.130000	0.130683	0.053652	0.366985	0.911169
0.131000	0.130139	0.053206	0.370645	0.909494
0.132000	0.129600	0.052767	0.374330	0.907795
0.133000	0.129068	0.052334	0.378040	0.906072
0.134000	0.128541	0.051908	0.381776	0.904324
0.135000	0.128020	0.051488	0.385537	0.902551
0.136000	0.127505	0.051075	0.389324	0.900753
0.137000	0.126996	0.050667	0.393136	0.898929
0.138000	0.126492	0.050266	0.396975	0.897081
0.139000	0.125993	0.049871	0.400839	0.895206
0.140000	0.125501	0.049481	0.404729	0.893306
0.141000	0.125013	0.049098	0.408646	0.891380
0.142000	0.124532	0.048720	0.412588	0.889428
0.143000	0.124055	0.048348	0.416556	0.887450
0.144000	0.123584	0.047982	0.420551	0.885445
0.145000	0.123119	0.047621	0.424572	0.883414
0.146000	0.122659	0.047266	0.428619	0.881356
0.147000	0.122204	0.046916	0.432693	0.879271
0.148000	0.121755	0.046571	0.436793	0.877159
0.149000	0.121310	0.046232	0.440920	0.875020
0.150000	0.120871	0.045898	0.445074	0.872854
0.151000	0.120437	0.045569	0.449254	0.870660
0.152000	0.120009	0.045245	0.453461	0.868439
0.153000	0.119585	0.044927	0.457695	0.866190
0.154000	0.119167	0.044613	0.461955	0.863914
0.155000	0.118753	0.044304	0.466243	0.861610
0.156000	0.118345	0.044000	0.470558	0.859278
0.157000	0.117942	0.043700	0.474899	0.856918
0.158000	0.117544	0.043406	0.479268	0.854529
0.159000	0.117150	0.043116	0.483664	0.852113
0.160000	0.116762	0.042830	0.488087	0.849668
0.161000	0.116379	0.042550	0.492537	0.847195
0.162000	0.116000	0.042273	0.497015	0.844694
0.163000	0.115626	0.042001	0.501520	0.842164
0.164000	0.115258	0.041734	0.506052	0.839606
0.165000	0.114894	0.041471	0.510612	0.837019
0.166000	0.114535	0.041212	0.515199	0.834404
0.167000	0.114180	0.040957	0.519814	0.831761
0.168000	0.113831	0.040707	0.524456	0.829088
